4001	5	4176	0.329
3810	0	4338	0.345
3984	6	4158	0.329
2453	2	2130	0.442
324	5	145	0.366
50	3	250	0.846
2276	1	2076	0.169
3901	5	4189	0.284
4201	5	3836	0.534
3976	1	4205	0.240
4165	5	3936	0.323
4211	0	4017	0.188
4460	0	4871	0.163
3960	5	3946	0.473
3929	2	4173	0.343
1234	0	24	0.284
906	0	891	0.361
3972	6	4189	0.329
2494	0	2087	0.290
4158	6	3901	0.323
4245	0	4235	0.483
3928	2	3897	0.323
281	0	133	0.311
2764	0	2786	0.956
2164	5	2218	0.961
2199	0	2200	0.800
4016	6	3844	0.329
3978	0	4171	0.538
4159	5	3980	0.469
4057	0	3792	0.547
2169	2	2293	0.370
2292	5	2230	0.199
57	4	585	0.513
2152	2	2167	0.282
777	0	290	0.216
2127	6	2296	0.329
2780	0	2736	0.150
254	0	598	0.731
2662	0	2658	0.912
609	4	934	0.463
4213	1	4009	0.169
3666	0	3661	0.368
3978	2	3874	0.171
2156	2	2162	0.442
2252	4	2259	0.923
2308	6	2148	0.282
292	5	149	0.367
4176	1	3952	0.402
205	0	88	0.398
241	3	257	0.645
290	0	134	0.158
2705	0	2677	0.163
2089	0	2049	0.190
2239	0	2249	0.923
4170	6	4003	0.169
4668	2	3930	0.912
2202	2	3026	0.188
59	4	52	0.898
552	0	228	0.473
3967	2	3835	0.596
594	4	52	0.473
2176	2	2161	0.390
1917	0	1915	0.179
4219	2	3981	0.470
231	3	188	0.473
3952	1	4196	0.240
2060	0	2371	0.422
3917	5	4020	0.329
4096	0	4081	0.542
4243	0	4254	0.424
163	0	1389	0.508
3911	5	3837	0.885
2240	4	2247	0.923
4009	1	4215	0.169
3904	6	4165	0.323
2206	1	2136	0.199
3177	0	3179	0.912
2633	0	2144	0.307
4158	5	3833	0.612
3911	5	3895	0.342
4156	5	3898	0.284
2231	5	2325	0.370
2273	2	2137	0.282
3925	2	4217	0.329
4456	0	4298	0.181
3972	5	4217	0.329
839	0	1216	0.325
280	5	146	0.315
2213	5	2310	0.370
733	0	1114	0.382
2034	4	2050	0.780
4150	2	3948	0.311
4067	3	4041	0.921
3901	0	4179	0.188
3990	6	4155	0.394
4833	0	4363	0.297
2313	5	2194	0.433
205	0	367	0.473
3844	5	4183	0.266
4784	4	3802	0.169
2269	5	2200	0.582
2244	3	3128	0.589
2271	6	2191	0.370
3844	0	4159	0.388
3834	0	3993	0.527
2126	5	2443	0.470
4013	2	3838	0.404
3653	0	3972	0.342
2229	0	2309	0.370
2233	2	2276	0.370
2172	5	2218	0.921
4331	0	4058	0.337
3816	0	3681	0.680
3437	2	2190	0.971
4245	0	4248	0.483
1002	0	640	0.195
4155	0	3969	0.342
413	0	109	0.237
3961	2	3904	0.311
2170	5	2280	0.433
2273	5	2143	0.282
60	0	593	0.898
3985	1	4154	0.165
4200	0	3845	0.526
3835	5	4205	0.596
3804	0	4337	0.726
3911	2	4166	0.342
4087	0	4100	0.905
4323	0	4047	0.776
2309	5	2321	0.337
3929	5	4162	0.343
72	0	204	0.226
148	4	297	0.187
3901	0	4196	0.188
3989	6	4153	0.197
2185	5	2325	0.370
752	0	760	0.343
3932	6	3907	0.323
2269	1	2221	0.167
938	4	607	0.420
4155	2	3945	0.169
3731	0	4438	0.777
3898	6	4179	0.323
3977	1	4216	0.157
88	3	94	0.231
3965	0	4178	0.493
887	0	900	0.890
3913	5	4155	0.329
838	0	240	0.347
4047	4	3746	0.634
2263	4	2256	0.923
603	4	241	0.450
2623	0	2338	0.695
2949	0	2752	0.753
3127	0	2242	0.813
4781	0	4294	0.171
134	0	266	0.250
2905	0	2749	0.581
2187	5	2281	0.254
4214	2	3996	0.470
4154	0	3951	0.329
3971	6	4194	0.323
4826	0	3745	0.349
2082	3	2264	0.589
2217	2	2290	0.470
3817	5	4189	0.272
4068	3	3792	0.547
3845	5	4189	0.388
4291	0	3747	0.796
3992	1	3948	0.311
2215	5	2291	0.199
4674	0	4668	0.803
3986	0	4199	0.582
3991	6	4170	0.342
1233	0	36	0.215
2290	5	2170	0.254
4166	2	3836	0.404
2130	5	2444	0.150
3653	0	3896	0.342
2189	1	2270	0.470
3683	0	3708	0.307
254	4	396	0.450
4217	5	3960	0.329
4017	5	4163	0.323
274	0	154	0.158
948	0	1351	0.467
4165	5	3904	0.284
3955	5	4155	0.470
4212	1	4010	0.169
3840	2	3956	0.450
4010	5	4152	0.470
441	0	250	0.473
144	5	145	0.239
4289	0	4291	0.624
3817	6	4001	0.489
4206	1	3980	0.240
2287	5	2205	0.370
2133	6	2287	0.282
4425	4	3934	0.547
2983	0	2967	0.672
2004	2	2878	0.161
2158	2	2275	0.282
3933	1	4021	0.171
3140	0	2265	0.639
3957	2	3906	0.470
2272	6	2176	0.901
3981	1	4150	0.240
3792	0	4040	0.547
3988	2	3894	0.412
3967	5	3979	0.169
2025	4	2034	0.581
443	2	276	0.197
4193	2	3917	0.329
4292	0	4276	0.540
2242	4	2259	0.923
3967	2	3908	0.323
2272	6	2151	0.282
4171	5	3966	0.284
4543	1	4541	0.550
3999	2	4010	0.183
3959	2	3961	0.470
3987	6	4173	0.353
2224	2	2284	0.470
3834	5	4174	0.266
4171	2	3928	0.412
367	3	19	0.898
636	0	646	0.725
918	4	928	0.471
3905	2	4157	0.169
3921	6	3914	0.169
2280	2	2158	0.282
121	1	306	0.157
4599	0	4260	0.470
4068	3	3810	0.547
3961	2	3952	0.470
3681	0	3693	0.268
3969	2	4195	0.342
2250	0	3454	0.198
4340	0	4069	0.744
12	3	72	0.846
3936	6	3925	0.396
4097	0	4662	0.547
3693	0	4055	0.543
3897	2	3908	0.311
3919	2	3894	0.412
2041	4	2011	0.440
152	2	305	0.252
4153	5	3838	0.404
2138	1	2285	0.282
3927	5	3841	0.546
4167	5	3947	0.561
2270	2	2229	0.370
2458	5	2125	0.442
4172	0	3983	0.188
2300	0	2218	0.390
258	0	196	0.236
2296	5	2170	0.254
2298	6	2157	0.282
2236	2	2279	0.175
3842	6	3958	0.323
1183	0	793	0.485
3983	0	3839	0.368
687	0	672	0.332
2705	0	2898	0.377
3714	4	3795	0.375
2146	2	2274	0.406
