concept:politicsblog:people_	concept:competeswith	concept:company:der_spiegel	0.930
concept:politicsblog:people_	concept:competeswith	concept:company:united_press_international001	0.956
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:buffalo_news	0.956
concept:politicsblog:people_	concept:competeswith	concept:blog:fortune	0.956
concept:politicsblog:people_	concept:competeswith	concept:blog:new_york_magazine	0.965
concept:politicsblog:people_	concept:competeswith	concept:publication:wall_st___journal	0.930
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:journal_newspapers	0.930
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:daily_mail	0.930
concept:politicsblog:people_	concept:competeswith	concept:magazine:wired	0.956
concept:politicsblog:people_	concept:competeswith	concept:blog:new_york_press	0.930
concept:politicsblog:people_	concept:competeswith	concept:company:the_today_show	0.930
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:long_island_newsday	0.930
concept:politicsblog:people_	concept:competeswith	concept:magazine:the_nation	0.965
concept:politicsblog:people_	concept:competeswith	concept:blog:new_york_sun	0.963
concept:politicsblog:people_	concept:competeswith	concept:website:scientific_american	0.965
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:bloomberg	0.956
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:national_review	0.965
concept:politicsblog:people_	concept:competeswith	concept:company:the_new_york_times_magazine001	0.930
concept:politicsblog:people_	concept:competeswith	concept:newspaper:hollywood_reporter	0.930
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:sunday_times	0.965
concept:politicsblog:people_	concept:competeswith	concept:company:reader__s_digest	0.930
concept:politicsblog:people_	concept:competeswith	concept:company:the_nation001	0.965
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:nbc_news	0.963
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:guardian	0.965
concept:politicsblog:people_	concept:competeswith	concept:magazine:the_atlantic_monthly	0.965
concept:politicsblog:people_	concept:competeswith	concept:company:united_press_international	0.956
concept:politicsblog:people_	concept:competeswith	concept:company:microsoft	0.963
concept:politicsblog:people_	concept:competeswith	concept:politicsblog:people_	0.930
